,time,position,velocity
40,0.07961893081665039,"[-0.96492863  0.55746435 -0.1619355  -1.6819403   0.10032699  2.21811092
 -0.37655713]","[ 1.56291319e-04 -3.02491393e-04  5.71227760e-04 -5.00624675e-04
  7.84803508e-05 -1.71763474e-04  2.93389346e-05]"
41,0.08157801628112793,"[-0.96492863  0.55746267 -0.16193958 -1.6819403   0.10032527  2.21811099
 -0.37655922]","[ 0.00025507 -0.00069125 -0.00048854 -0.00043904  0.00039657 -0.00023458
  0.00096248]"
42,0.08354926109313965,"[-0.96493073  0.557461   -0.16194159 -1.68194197  0.10032157  2.21811338
 -0.37655851]","[ 1.70044528e-04 -1.01764700e-03 -9.75305231e-04 -8.49503843e-04
 -6.17238943e-04 -1.56385744e-04 -7.04266293e-05]"
43,0.08550453186035156,"[-0.96493232  0.55745738 -0.16194305 -1.6819403   0.10032274  2.21811311
 -0.37656283]","[-1.21791033e-03 -1.50795093e-03 -8.04545950e-04  1.19503125e-04
 -1.71111143e-05 -5.73800830e-04 -9.96676129e-04]"
44,0.08766341209411621,"[-0.96493225  0.55745933 -0.16193965 -1.68194197  0.10032241  2.21811033
 -0.37655784]","[-0.00035569 -0.00042273  0.00044671 -0.00072024 -0.00015454  0.00014058
  0.00074383]"
45,0.08971095085144043,"[-0.96493225  0.55745933 -0.16194162 -1.68193835  0.10032602  2.2181095
 -0.37656068]","[-0.00037462 -0.00018788 -0.00045108  0.00029857 -0.00020432 -0.00033312
 -0.00053973]"
46,0.09215474128723145,"[-0.96493867  0.55745738 -0.16194162 -1.68193286  0.10032714  2.21811481
 -0.37656291]","[-1.19368908e-03 -5.60923232e-04 -2.78011121e-04  9.75241085e-04
  4.49539710e-05  6.39747766e-04 -1.16210104e-03]"
47,0.0935373306274414,"[-0.96493485  0.557461   -0.16194329 -1.68193429  0.10032467  2.21811347
 -0.37655867]","[-0.00014618  0.00083248 -0.00074215  0.00065016  0.00026733 -0.00028558
  0.00088678]"
48,0.09560060501098633,"[-0.96493834  0.55745738 -0.16194162 -1.68193588  0.10032619  2.2181149
 -0.37655722]","[-0.00105486 -0.00024869  0.00022697 -0.00026785 -0.000322    0.00042691
  0.000315  ]"
49,0.09756755828857422,"[-0.96493806  0.55745571 -0.16194329 -1.68193297  0.10032783  2.21811235
 -0.37655833]","[-9.76170359e-05 -6.67340901e-04 -4.55938037e-04  4.99634777e-04
  1.50763239e-04  5.85337717e-04 -1.76476740e-04]"
50,0.0996403694152832,"[-0.96494377  0.55745738 -0.16194329 -1.68193285  0.10032715  2.21811446
 -0.37655794]","[-2.36343515e-03  4.45819980e-04 -3.88243112e-04 -6.13158027e-04
 -9.12334098e-05  1.81030449e-04 -5.53151989e-04]"
51,0.10166335105895996,"[-0.96494045  0.55745738 -0.16194329 -1.681929    0.1003229   2.21811194
 -0.37655888]","[-6.05277072e-05  5.69350181e-04 -1.72552494e-04  7.17373236e-04
 -1.19667829e-04 -7.77813165e-05  7.06332597e-05]"
52,0.1035308837890625,"[-0.96494234  0.55745738 -0.16194329 -1.68192731  0.10032375  2.21811492
 -0.37655459]","[-3.98109171e-04  2.53044525e-04 -7.66899973e-05  8.75644501e-04
  3.08504113e-04  4.45501730e-05  6.64349736e-04]"
53,0.1055598258972168,"[-0.96494236  0.55745404 -0.16194691 -1.68192826  0.10032476  2.21811454
 -0.37655204]","[-0.00017694 -0.00062995 -0.00105491  0.00020357  0.00035187 -0.00029668
  0.00151597]"
54,0.10756731033325195,"[-0.96494236  0.55745571 -0.16194691 -1.68192985  0.10032568  2.21811139
 -0.37655993]","[ 1.37899133e-04  9.12294334e-05 -6.85385250e-04 -2.80731812e-04
 -2.84424454e-04 -2.10976763e-04  2.55560451e-04]"
55,0.10955238342285156,"[-0.96494069  0.55745571 -0.16194329 -1.68193179  0.10032451  2.21811104
 -0.37656111]","[ 6.18100455e-04  4.05464149e-05  6.85272248e-04 -1.14559161e-03
  1.78764913e-04 -1.72887097e-04 -1.23776518e-04]"
56,0.11153554916381836,"[-0.96494646  0.55745738 -0.16194691 -1.68192984  0.1003243   2.21811172
 -0.37656081]","[-9.31714582e-04  7.60436565e-04 -7.16256468e-04 -7.60758624e-05
  1.58570719e-04  2.39639878e-04 -5.29729668e-04]"
57,0.11350107192993164,"[-0.96494455  0.55745738 -0.16194691 -1.68193179  0.10032569  2.2181156
 -0.37655857]","[-6.30633351e-04  5.23575790e-04 -3.18336208e-04 -1.05463341e-03
 -8.77634188e-05  1.06506612e-04 -4.72794349e-04]"
58,0.11556077003479004,"[-0.96494454  0.55745738 -0.16194904 -1.68193179  0.10032212  2.21811524
 -0.37656045]","[ 3.69332454e-04  4.18304335e-04  4.41212248e-05 -9.75179904e-05
 -3.21576132e-04 -2.69142316e-04 -6.05729057e-04]"
59,0.1174919605255127,"[-0.96494622  0.55745738 -0.16194591 -1.68193708  0.10032418  2.21811422
 -0.37655532]","[-6.40136173e-04 -3.06249434e-05  6.69223377e-04 -1.21883323e-03
  8.31334091e-05 -1.19618807e-04  2.84624615e-04]"
60,0.11958956718444824,"[-0.9649472   0.55745738 -0.16195081 -1.68193708  0.10032675  2.21811128
 -0.37655428]","[ 8.67030021e-05 -2.30149067e-04 -6.92455302e-04 -5.41703657e-04
 -2.00410759e-04 -2.11403208e-04  4.42978417e-04]"
61,0.12157630920410156,"[-0.96494845  0.55745738 -0.16195166 -1.68193346  0.10032392  2.21811386
 -0.37655744]","[-5.18277284e-04  8.33155096e-05 -4.93361896e-04  3.77922766e-04
 -2.12546082e-05 -1.48373344e-05  5.92477531e-04]"
62,0.12402629852294922,"[-0.96494912  0.55745738 -0.16195176 -1.68193513  0.1003236   2.21811584
 -0.37655815]","[-6.32487425e-04 -1.79508866e-04 -4.04875938e-04 -2.03242294e-04
  5.83703477e-05  3.09884217e-04 -4.48753476e-04]"
63,0.12553000450134277,"[-0.96494919  0.55745571 -0.16195177 -1.68193179  0.10032357  2.21811492
 -0.37655428]","[-2.81105522e-04 -8.53131651e-04 -1.79944861e-04  8.37690011e-04
 -5.31772702e-05  2.95965613e-04  9.87348716e-04]"
64,0.1275482177734375,"[-0.9649492   0.55746267 -0.16195177 -1.68193346  0.10032615  2.21811199
 -0.376561  ]","[-3.10539772e-04 -6.06747439e-04 -7.99754939e-05  4.03240669e-04
 -3.06204510e-04  5.24206253e-05 -2.73255172e-04]"
65,0.12944841384887695,"[-0.9649492   0.55745571 -0.16195344 -1.68192972  0.10032711  2.21811174
 -0.37656135]","[ 4.75863077e-05 -2.28081939e-03 -7.77960600e-04  7.36030027e-04
 -7.95768598e-05  1.02417703e-04 -5.96164625e-04]"
66,0.13153648376464844,"[-0.96495282  0.55745933 -0.16194815 -1.68193323  0.1003268   2.21811418
 -0.37655997]","[-7.83134460e-04 -1.49728727e-04  1.63401556e-03 -4.40835115e-05
  1.22871801e-04 -1.12720315e-04 -4.34504156e-04]"
67,0.13342070579528809,"[-0.96495497  0.55745738 -0.16195177 -1.68193343  0.10032217  2.21811453
 -0.37655748]","[-5.64597741e-04 -5.87851950e-04 -2.63658776e-04 -1.95926718e-05
 -4.54016613e-04 -1.29217565e-04 -7.46950487e-04]"
68,0.13557147979736328,"[-0.96495306  0.557461   -0.16195177 -1.6819311   0.10032667  2.21811386
 -0.37655748]","[-0.00046747  0.00067899 -0.00011718  0.0005481  -0.00014527 -0.00045303
 -0.00049022]"
69,0.1375732421875,"[-0.96494923  0.55745933 -0.16195081 -1.68193171  0.10032391  2.21811529
 -0.37655756]","[ 7.82123332e-04  1.19187335e-04  5.04731206e-04  2.70638399e-05
 -1.43684593e-04  3.60130460e-05 -2.17874350e-04]"
70,0.13986444473266602,"[-0.96495282  0.55745933 -0.16195565 -1.68193178  0.10032644  2.21811529
 -0.37655366]","[-1.04441951e-03 -1.48334859e-04 -5.18090955e-04 -2.04509608e-04
  2.41315962e-04  1.60057982e-05  8.52602719e-04]"
71,0.14163613319396973,"[-0.96495087  0.55745933 -0.16195439 -1.6819311   0.10032513  2.218116
 -0.37655354]","[ 1.85427495e-04 -7.47595554e-05 -2.30262647e-04 -3.07431140e-04
  3.89821707e-04  3.23592276e-04  9.32772071e-04]"
72,0.14359092712402344,"[-0.96495302  0.55745933 -0.16195188 -1.68193505  0.1003243   2.21811458
 -0.37655424]","[ 8.24122200e-05 -4.09402972e-04  8.32650298e-05 -1.06465598e-03
  3.76204113e-05 -1.72659799e-04  4.93685012e-04]"
73,0.14554286003112793,"[-0.96495592  0.557461   -0.16195391 -1.68192971  0.1003225   2.218116
 -0.37655271]","[-7.98590274e-04 -3.70355661e-04  3.70066799e-05  4.54839483e-04
 -2.88455598e-04  3.18860547e-04  1.20275974e-03]"
74,0.14755773544311523,"[-0.96495388  0.55745933 -0.1619558  -1.68193156  0.10032796  2.21811423
 -0.37655495]","[-5.71466992e-04 -5.37382559e-04 -5.40364538e-04  3.87754865e-04
  1.87339991e-05  6.25961515e-05  3.53714979e-04]"
75,0.14955472946166992,"[-0.96495385  0.557461   -0.16195654 -1.68192901  0.10032675  2.21811411
 -0.37655815]","[ 1.79090633e-04  3.17090966e-04 -2.40162017e-04 -4.42024855e-05
 -4.81878118e-05  1.06940159e-04  1.57206657e-04]"
76,0.15160036087036133,"[-0.96495406  0.55746267 -0.16195449 -1.68192941  0.10032455  2.21811339
 -0.37655887]","[ 2.96133818e-04  8.82847839e-04 -1.06738674e-04  1.65958435e-04
 -2.14168052e-05 -1.10710335e-04 -8.00446491e-04]"
77,0.15352892875671387,"[-0.96495409  0.557461   -0.16195427 -1.68193152  0.1003244   2.21811516
 -0.37655713]","[-5.39889537e-05 -1.64714930e-04 -2.33043395e-04  7.37593044e-05
 -6.87686983e-04  1.88154348e-04 -4.34873643e-04]"
78,0.15563702583312988,"[-0.96495242  0.55746267 -0.16195832 -1.681929    0.1003238   2.21811456
 -0.37655744]","[ 0.00053282  0.00011224 -0.00053665 -0.00036936 -0.0001587  -0.00023285
 -0.00019328]"
79,0.15784907341003418,"[-0.96495771  0.55746267 -0.16195855 -1.68193039  0.10032678  2.21811458
 -0.37655827]","[-0.00112429  0.0002354  -0.00045505 -0.00072097 -0.00014965 -0.00010349
 -0.00040238]"
80,0.15966129302978516,"[-0.96495409  0.55745738 -0.16195496 -1.68193145  0.10032418  2.21811105
 -0.37655366]","[ 5.21138183e-04 -1.47306149e-03  1.00418170e-03  5.07759790e-05
  3.74296597e-04  3.31237095e-05  6.12361112e-04]"
81,0.1616380214691162,"[-0.96495604  0.55746267 -0.16195496 -1.68192774  0.10032739  2.21811482
 -0.37655745]","[-2.01458992e-04  7.06373875e-04  4.46302976e-04  4.55643064e-04
 -3.70964777e-05  1.47216487e-05  1.13921200e-04]"
82,0.1635749340057373,"[-0.96495604  0.55745738 -0.16195663 -1.68192685  0.10032842  2.21811452
 -0.37655388]","[ 3.12604635e-04 -1.07810169e-03  4.36868915e-05  2.02508029e-04
  3.33899685e-04 -3.09935633e-04  4.46229880e-04]"
83,0.16564154624938965,"[-0.96495242  0.55745933 -0.16195663 -1.68193204  0.10032396  2.21811176
 -0.37655463]","[ 1.34536129e-03 -4.60892076e-05  1.94163962e-05 -1.85883826e-03
 -2.24592762e-04  2.57849065e-04  7.52161920e-04]"
84,0.16774272918701172,"[-0.96495604  0.55746267 -0.16195496 -1.68192674  0.10032645  2.21811411
 -0.37655721]","[-4.22883561e-04  9.07530842e-04  5.65441461e-04  5.65879540e-04
 -8.85161985e-05 -2.01879004e-04 -2.19543342e-04]"
85,0.169508695602417,"[-0.96495604  0.55745933 -0.16195329 -1.68192869  0.10032665  2.21811595
 -0.3765571 ]","[-4.04486231e-04 -5.24675683e-04  9.93723252e-04 -3.98111926e-04
 -3.93405327e-05  3.84993880e-04 -2.55814113e-04]"
86,0.17174220085144043,"[-0.96495604  0.55745933 -0.16195496 -1.68192869  0.10032276  2.21811528
 -0.37656029]","[-3.96309639e-04 -4.18794754e-04  7.04468107e-05 -3.93476615e-04
 -2.54843622e-04  1.28690973e-05 -3.45755143e-05]"
87,0.17412352561950684,"[-0.96495242  0.55745738 -0.16195858 -1.68193036  0.10032499  2.2181114
 -0.37655744]","[ 0.00103029 -0.00083575 -0.00077297 -0.00073169 -0.0002489  -0.00015252
 -0.00025273]"
88,0.1756448745727539,"[-0.96495604  0.557461   -0.16195858 -1.68192869  0.1003277   2.21811494
 -0.37655713]","[-5.62916010e-04  4.32840839e-04 -7.45686070e-04  2.31616197e-04
  1.83251858e-04  9.04527628e-05 -5.07920829e-04]"
89,0.17770862579345703,"[-0.96495242  0.557461   -0.16196025 -1.68192869  0.10032714  2.21811525
 -0.37655602]","[ 7.39703021e-04  1.92373425e-04 -8.88227983e-04  3.45401519e-03
 -1.55913671e-04  4.02012279e-05  3.28094938e-04]"
90,0.17969584465026855,"[-0.96495242  0.557461   -0.16195663 -1.68192869  0.10032609  2.21811457
 -0.37655603]","[ 7.30898863e-04  8.54991423e-05  4.09515938e-04  1.90881926e-03
 -6.92949648e-05 -2.19491729e-04  8.12685569e-04]"
91,0.181565523147583,"[-0.96495242  0.55745933 -0.16195663 -1.68192869  0.10032668  2.21811423
 -0.37655816]","[ 3.24843939e-04 -5.18812422e-04 -3.59690042e-06  1.24417514e-03
  2.06561179e-04  6.06874146e-05  7.34186208e-04]"
92,0.18346071243286133,"[-0.96495242  0.557461   -0.16195496 -1.68192674  0.10032667  2.2181134
 -0.3765608 ]","[ 0.00054652  0.00032623  0.00018401  0.00110428  0.00017092 -0.00021039
 -0.00022753]"
93,0.18558907508850098,"[-0.9649488   0.557461   -0.16195329 -1.68193036  0.10032276  2.21811516
 -0.37655607]","[ 1.44932236e-03 -4.06135217e-05  6.38592112e-04 -2.46980156e-04
 -8.22727983e-05 -1.43855782e-05  1.36233364e-04]"
94,0.18767261505126953,"[-0.96495075  0.557461   -0.16195663 -1.68192869  0.1003248   2.21811527
 -0.37656033]","[ 2.11067309e-04  1.67553514e-04 -2.42059238e-04  2.98851346e-04
  2.57307286e-04 -6.39359031e-06 -6.51528661e-04]"
95,0.19002652168273926,"[-0.9649488   0.55745933 -0.16194967 -1.68192869  0.10032426  2.21811386
 -0.37655887]","[ 7.43421637e-04 -4.82343732e-04  2.02686393e-03  5.25075228e-04
 -2.12748866e-05 -3.98439831e-04 -1.08076476e-03]"
96,0.19158315658569336,"[-0.9649488   0.557461   -0.16195134 -1.68193036  0.10032747  2.21811529
 -0.37655961]","[ 7.32551582e-04  1.56832971e-04  9.31762411e-04 -1.26003703e-04
  6.96641418e-05  6.02745718e-05 -3.22100601e-04]"
97,0.19367671012878418,"[-0.96495075  0.55745933 -0.16195329 -1.68193036  0.10032418  2.21811529
 -0.37655602]","[-3.24035463e-04 -4.87108412e-04 -1.89593352e-05  3.52798911e-04
  3.81348849e-04  2.67886986e-05  1.50834713e-05]"
98,0.19551515579223633,"[-0.96494713  0.55746267 -0.16195134 -1.68193493  0.10032287  2.21811529
 -0.3765557 ]","[ 0.00106241  0.00089713  0.00064119 -0.00141709 -0.00026002  0.00017015
  0.00024406]"
99,0.19752883911132812,"[-0.96494713  0.55746434 -0.16195134 -1.68193195  0.10032559  2.218116
 -0.37655851]","[0.00047218 0.00095554 0.00050151 0.00017657 0.00061912 0.00031298
 0.00097879]"
100,0.1996173858642578,"[-0.96494546  0.557461   -0.16195134 -1.68193564  0.10032427  2.21811529
 -0.37655827]","[ 9.52274728e-04 -5.03336826e-04  4.39431419e-04 -9.10225732e-04
  6.04105646e-05 -1.91374669e-05 -1.18820357e-04]"
101,0.20158624649047852,"[-0.96494546  0.55746267 -0.16195134 -1.68193565  0.10032189  2.218116
 -0.37655785]","[ 4.23233212e-04  3.33106695e-04  9.69886911e-06 -4.03878159e-04
 -4.81777162e-04  3.07973047e-04 -4.48407282e-04]"
102,0.2035973072052002,"[-0.96494546  0.55746434 -0.16194967 -1.68193565  0.10032496  2.21811458
 -0.37655887]","[ 0.0001881   0.00070486  0.00018991 -0.00058127 -0.00021412 -0.00025872
 -0.00051577]"
103,0.20554494857788086,"[-0.96494546  0.55746601 -0.16194967 -1.68193732  0.10032343  2.21811458
 -0.37655507]","[-1.32936359e-04  8.70082784e-04  8.44064855e-05 -1.00054653e-03
  2.77826762e-04 -1.94106903e-04  3.24606101e-04]"
104,0.2078251838684082,"[-0.96494351  0.55746434 -0.161948   -1.68193565  0.10032347  2.218116
 -0.37655887]","[ 0.00037399  0.0003867   0.00059433  0.00011224 -0.00011388  0.00030933
  0.00014427]"
105,0.20951318740844727,"[-0.96494184  0.55746601 -0.161948   -1.68193398  0.10032675  2.218116
 -0.37655459]","[ 5.37427139e-04  5.43076172e-04  4.76068833e-05  6.06764577e-04
 -1.29733149e-04  1.37479334e-04  7.76196547e-04]"
106,0.21160602569580078,"[-0.96493918  0.55746601 -0.16194605 -1.68193565  0.10032518  2.21811458
 -0.37655748]","[ 1.07407443e-03  5.57632036e-05  8.56376542e-04 -1.01497284e-04
 -6.34102320e-04 -2.55376662e-04  8.98813772e-04]"
107,0.2135615348815918,"[-0.96493962  0.55746963 -0.16194587 -1.68193899  0.10032847  2.21811423
 -0.37655922]","[ 4.42904527e-05  1.41681353e-03 -5.24641658e-05 -9.73108708e-04
  5.09373217e-04  3.61217143e-04  2.41233493e-04]"
108,0.2155628204345703,"[-0.96493893  0.55746768 -0.16194493 -1.68193939  0.10032157  2.21811199
 -0.37655748]","[ 8.54902573e-04  3.82222922e-04 -2.39855388e-04 -2.46876897e-04
 -5.08294340e-04  2.39660600e-04  2.80952390e-05]"
